ticker,fund_name,fund_theme,strategy_no,触发条件,条件解释,机制,full_avg,full_hit
BMPSX,Materials UltraSector ProFund - Service Class,原材料,2,GDX>0 且 UUP<0 且 XLK<0，买基金第二天,金矿股上涨，美元下跌，科技下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。市场风险偏好与防御信号并存，资金分流加剧，美元走弱利好贵金属与新兴市场，价值/金融板块相对占优。该基金为原材料类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.5202748199791134,0.5720720720720721
BMPSX,Materials UltraSector ProFund - Service Class,原材料,3,GDX>0 且 GLD>0 且 JNK<0，买基金第二天,金矿股上涨，黄金上涨，高收益债下跌,风险偏好收缩，资金撤离高风险资产；信用风险上升，高风险资产承压。资金转向避险与防御资产，风险资产承压。该基金为原材料类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.4518012356936388,0.5580357142857143
BTCFX,Bitcoin ProFund - Investor Class,比特币,1,QQQ<0 且 XLK<0 且 XLV<0，买基金第二天,科技成长下跌，科技下跌，医疗下跌,风险偏好收缩，资金撤离高风险资产；板块轮动偏向价值/金融。市场风险偏好与防御信号并存，资金分流加剧，价值/金融板块相对占优。该基金为比特币类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.6871886717226696,0.5714285714285714
BTCFX,Bitcoin ProFund - Investor Class,比特币,2,EEM<0 且 信用利差<0，买基金后2日平均回报,新兴市场下跌，信用利差下降,风险偏好收缩，资金撤离高风险资产；信用环境偏宽松。市场风险偏好与防御信号并存，资金分流加剧。该基金为比特币类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.4141622869720578,0.5637254901960784
BTCFX,Bitcoin ProFund - Investor Class,比特币,3,EEM<0 且 IWM<0 且 SPY<0，买基金后2日平均回报,新兴市场下跌，小盘下跌，标普500下跌,风险偏好收缩，资金撤离高风险资产。资金转向避险与防御资产，风险资产承压。该基金为比特币类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.4606384579276509,0.5662650602409639
CYPIX,Consumer Discretionary UltraSector ProFund - Investor Class,可选消费,1,EEM<0 且 GDX>0 且 GLD>0，买基金第二天,新兴市场下跌，金矿股上涨，黄金上涨,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压。该基金为可选消费类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.4422950555025714,0.6366366366366366
CYPIX,Consumer Discretionary UltraSector ProFund - Investor Class,可选消费,2,FXY>0 且 GDX>0 且 QQQ<0，买基金第二天,日元上涨，金矿股上涨，科技成长下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压。该基金为可选消费类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3481794233672681,0.6007984031936128
CYPSX,Consumer Discretionary UltraSector ProFund - Service Class,可选消费,1,EEM<0 且 GDX>0，买基金第二天,新兴市场下跌，金矿股上涨,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压。该基金为可选消费类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3924902957465147,0.628140703517588
CYPSX,Consumer Discretionary UltraSector ProFund - Service Class,可选消费,2,GDX>0 且 TIP>0 且 XLV<0，买基金第二天,金矿股上涨，通胀保护国债上涨，医疗下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。市场风险偏好与防御信号并存，资金分流加剧。该基金为可选消费类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.327022152006454,0.594488188976378
CYPSX,Consumer Discretionary UltraSector ProFund - Service Class,可选消费,3,EEM<0 且 SLV>0 且 XLF<0，买基金第二天,新兴市场下跌，白银上涨，金融下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优。该基金为可选消费类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.2182725559621645,0.5913312693498453
ENPIX,Energy UltraSector ProFund - Investor Class,能源,1,XLE<0 且 VIX5d>=10.0%，买基金第二天,能源下跌，VIX近5日变化>=10,恐慌情绪升温；能源板块走弱，通胀与周期预期降温。资金转向避险与防御资产，风险资产承压。该基金为能源类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3747839487347134,0.5561224489795918
ENPIX,Energy UltraSector ProFund - Investor Class,能源,2,GDX>0 且 SPY<0 且 XLV<0，买基金后2日平均回报,金矿股上涨，标普500下跌，医疗下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。市场风险偏好与防御信号并存，资金分流加剧。该基金为能源类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.209522068612,0.5520446096654275
ENPSX,Energy UltraSector ProFund - Service Class,能源,1,XLE<0 且 VIX5d>=10.0%，买基金第二天,能源下跌，VIX近5日变化>=10,恐慌情绪升温；能源板块走弱，通胀与周期预期降温。资金转向避险与防御资产，风险资产承压。该基金为能源类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3717389000691371,0.5561224489795918
ENPSX,Energy UltraSector ProFund - Service Class,能源,3,GDX>0 且 HYG<0 且 SLV>0，买基金后3日平均回报,金矿股上涨，高收益债下跌，白银上涨,风险偏好收缩，资金撤离高风险资产；信用风险上升，高风险资产承压。资金转向避险与防御资产，风险资产承压。该基金为能源类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.2501887538065594,0.5659824046920822
FNPIX,Financials UltraSector ProFund Investor,金融,1,GDX>0 且 XLF<0 且 XLK<0，买基金第二天,金矿股上涨，金融下跌，科技下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优，价值/金融板块相对占优。该基金为金融类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.4858276671458093,0.6268656716417911
FNPIX,Financials UltraSector ProFund Investor,金融,2,XLV<0 且 VIX5d>=10.0%，买基金后2日平均回报,医疗下跌，VIX近5日变化>=10,恐慌情绪升温；防御性板块走弱。市场风险偏好与防御信号并存，资金分流加剧。该基金为金融类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3177186424007083,0.6026936026936027
FNPIX,Financials UltraSector ProFund Investor,金融,3,GDX>0 且 收益率曲线>0，买基金第二天,金矿股上涨，收益率曲线代理上升,避险与利率敏感资产走强；避险与抗通胀需求上升。资金转向避险与防御资产，风险资产承压。该基金为金融类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.2967325776671122,0.5869565217391305
FNPSX,Financials UltraSector ProFund Service Class,金融,1,GDX>0 且 SPY<0 且 XLF<0，买基金第二天,金矿股上涨，标普500下跌，金融下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优。该基金为金融类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.5863096372384896,0.6063829787234043
FNPSX,Financials UltraSector ProFund Service Class,金融,2,XLV<0 且 VIX5d>=10.0%，买基金后2日平均回报,医疗下跌，VIX近5日变化>=10,恐慌情绪升温；防御性板块走弱。市场风险偏好与防御信号并存，资金分流加剧。该基金为金融类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3119827969514964,0.5993265993265994
FNPSX,Financials UltraSector ProFund Service Class,金融,3,GDX>0 且 收益率曲线>0，买基金第二天,金矿股上涨，收益率曲线代理上升,避险与利率敏感资产走强；避险与抗通胀需求上升。资金转向避险与防御资产，风险资产承压。该基金为金融类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3294813706520703,0.5862068965517241
IDPIX,Industrials Ultra Sector ProFund Investor Class,工业,1,GDX>0 且 XLK<0，买基金第二天,金矿股上涨，科技下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。资金转向避险与防御资产，风险资产承压，价值/金融板块相对占优。该基金为工业类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3752431880844336,0.6227544910179641
IDPIX,Industrials Ultra Sector ProFund Investor Class,工业,2,GDX>0 且 LQD>0 且 XLF<0，买基金第二天,金矿股上涨，投资级信用债上涨，金融下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。市场风险偏好与防御信号并存，资金分流加剧，成长/科技板块相对占优。该基金为工业类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.320061930094326,0.6159420289855072
IDPSX,Industrials Ultra Sector ProFund Service Class,工业,1,GDX>0 且 SPY<0 且 XLK<0，买基金第二天,金矿股上涨，标普500下跌，科技下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压，价值/金融板块相对占优。该基金为工业类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.4039053665254791,0.6188118811881188
IDPSX,Industrials Ultra Sector ProFund Service Class,工业,2,QQQ<0 且 SLV>0 且 TLT<0，买基金第二天,科技成长下跌，白银上涨，长期国债下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。市场风险偏好与防御信号并存，资金分流加剧。该基金为工业类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3403908829804162,0.5653710247349824
IDPSX,Industrials Ultra Sector ProFund Service Class,工业,3,SPY<0 且 美元/黄金<=-1.0%，买基金第二天,标普500下跌，美元/黄金比<=-1,风险偏好收缩，资金撤离高风险资产；美元走弱。资金转向避险与防御资产，风险资产承压，美元走弱利好贵金属与新兴市场。该基金为工业类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.2482434360911538,0.5880149812734082
INPIX,Internet UltraSector ProFund， Investor Class,互联网,1,GLD>0 且 XLF<0 且 XLK<0，买基金第二天,黄金上涨，金融下跌，科技下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优，价值/金融板块相对占优。该基金为互联网类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.486913423286706,0.6355685131195336
INPIX,Internet UltraSector ProFund， Investor Class,互联网,3,GLD<0 且 TIP>0 且 XLF>0，买基金后2日平均回报,黄金下跌，通胀保护国债上涨，金融上涨,避险与利率敏感资产走强；板块轮动偏向价值/金融。市场风险偏好与防御信号并存，资金分流加剧，价值/金融板块相对占优。该基金为互联网类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3550132807846072,0.6079545454545454
INPSX,Internet UltraSector ProFund， Service Class,互联网,1,IWM<0 且 美元/黄金<=-1.0%，买基金第二天,小盘下跌，美元/黄金比<=-1,风险偏好收缩，资金撤离高风险资产；美元走弱。资金转向避险与防御资产，风险资产承压，美元走弱利好贵金属与新兴市场。该基金为互联网类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.6186312317989489,0.6135265700483091
INPSX,Internet UltraSector ProFund， Service Class,互联网,2,FXY>0 且 IWM>0 且 TIP>0，买基金第二天,日元上涨，小盘上涨，通胀保护国债上涨,避险与利率敏感资产走强；风险偏好回暖，资金回流权益与信用资产。市场风险偏好与防御信号并存，资金分流加剧。该基金为互联网类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3171934012222867,0.6077922077922078
INPSX,Internet UltraSector ProFund， Service Class,互联网,3,GLD>0 且 LQD<0 且 XLK<0，买基金后3日平均回报,黄金上涨，投资级信用债下跌，科技下跌,信用风险上升，高风险资产承压；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压，价值/金融板块相对占优。该基金为互联网类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3090443859864727,0.6298701298701299
MDPIX,Mid-Cap ProFund， Investor Class,中盘,1,GDX>0 且 SPY<0 且 XLF<0，买基金第二天,金矿股上涨，标普500下跌，金融下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优。该基金为中盘类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.2931349460820169,0.5928753180661578
MDPSX,Mid-Cap ProFund， Service Class,中盘,1,GDX>0 且 IWM<0 且 XLF<0，买基金第二天,金矿股上涨，小盘下跌，金融下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优。该基金为中盘类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.2805766926817632,0.5891472868217055
MGPIX,Mid-Cap Growth ProFund， Investor Class,中盘,1,GDX>0 且 XLF<0 且 XLK<0，买基金第二天,金矿股上涨，金融下跌，科技下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优，价值/金融板块相对占优。该基金为中盘类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.2758953851666209,0.64
MGPSX,Mid-Cap Growth ProFund， Service Class,中盘,1,GDX>0 且 XLF<0 且 XLK<0，买基金第二天,金矿股上涨，金融下跌，科技下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优，价值/金融板块相对占优。该基金为中盘类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.2712729139570114,0.635
MLPIX,Mid-Cap Value ProFund， Investor Class,中盘,1,GDX>0 且 SPY<0 且 XLF<0，买基金第二天,金矿股上涨，标普500下跌，金融下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优。该基金为中盘类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.4202120982857217,0.6018518518518519
MLPSX,Mid-Cap Value ProFund， Service Class,中盘,1,GDX>0 且 SPY<0 且 XLF<0，买基金第二天,金矿股上涨，标普500下跌，金融下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优。该基金为中盘类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.4170282475380811,0.6027397260273972
OEPIX,Oil & Gas Equipment & Services UltraSector ProFund - Investor Class,能源,1,XLU<=-1% 且 VIX收盘>0，买基金后3日平均回报,公用事业大跌(<=-1%)，VIX水平上升,恐慌情绪升温；防御性板块走弱。市场风险偏好与防御信号并存，资金分流加剧。该基金为能源类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3174785620044879,0.549718574108818
OEPSX,Oil & Gas Equipment & Services UltraSector ProFund - Service Class,能源,1,XLU<=-1% 且 VIX20d>0，买基金后3日平均回报,公用事业大跌(<=-1%)，VIX近20日波动上升,恐慌情绪升温；防御性板块走弱。市场风险偏好与防御信号并存，资金分流加剧。该基金为能源类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3074413763201192,0.5500945179584121
OTPIX,NASDAQ-100 ProFund Investor Class,纳指100,2,GDX>0 且 SPY<0 且 XLC<0，买基金第二天,金矿股上涨，标普500下跌，通信服务下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压。该基金为纳指100类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3074010581084732,0.6444444444444445
OTPIX,NASDAQ-100 ProFund Investor Class,纳指100,3,GLD<0 且 QQQ<0 且 XLF>0，买基金后2日平均回报,黄金下跌，科技成长下跌，金融上涨,风险偏好收缩，资金撤离高风险资产；板块轮动偏向价值/金融。市场风险偏好与防御信号并存，资金分流加剧，价值/金融板块相对占优。该基金为纳指100类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.2945313885848387,0.6589147286821705
OTPSX,NASDAQ-100 ProFund Service Class,纳指100,1,IWM<0 且 美元/黄金<=-1.0%，买基金第二天,小盘下跌，美元/黄金比<=-1,风险偏好收缩，资金撤离高风险资产；美元走弱。资金转向避险与防御资产，风险资产承压，美元走弱利好贵金属与新兴市场。该基金为纳指100类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3476785010318912,0.6112956810631229
REPIX,ProFunds Real Estate UltraSector ProFund Investor,房地产,1,GLD>0 且 XLK<0 且 XLV<0，买基金后3日平均回报,黄金上涨，科技下跌，医疗下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。市场风险偏好与防御信号并存，资金分流加剧，价值/金融板块相对占优。该基金为房地产类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3004200620810592,0.6010928961748634
REPIX,ProFunds Real Estate UltraSector ProFund Investor,房地产,2,GDX>0 且 VIX5d>0，买基金第二天,金矿股上涨，VIX近5日变化上升,恐慌情绪升温；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压。该基金为房地产类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.4559226389680271,0.5560538116591929
REPIX,ProFunds Real Estate UltraSector ProFund Investor,房地产,3,GDX>0 且 SLV>0 且 XLV<0，买基金第二天,金矿股上涨，白银上涨，医疗下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。市场风险偏好与防御信号并存，资金分流加剧。该基金为房地产类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3996689309289691,0.5944272445820433
REPSX,ProFunds Real  Estate UltraSector ProFund Service Cl,房地产,1,FXY>0 且 XLF<0 且 XLU<0，买基金第二天,日元上涨，金融下跌，公用事业下跌,避险与利率敏感资产走强；板块轮动偏向成长/科技。市场风险偏好与防御信号并存，资金分流加剧，成长/科技板块相对占优。该基金为房地产类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.4137064442923144,0.5565610859728507
REPSX,ProFunds Real  Estate UltraSector ProFund Service Cl,房地产,2,JNK>0 且 QQQ<0 且 XLK<0，买基金第二天,高收益债上涨，科技成长下跌，科技下跌,风险偏好收缩，资金撤离高风险资产；风险偏好回暖，资金回流权益与信用资产。市场风险偏好与防御信号并存，资金分流加剧，价值/金融板块相对占优。该基金为房地产类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3679049823194948,0.5848101265822785
REPSX,ProFunds Real  Estate UltraSector ProFund Service Cl,房地产,3,GDX>0 且 SLV>0 且 XLV<0，买基金第二天,金矿股上涨，白银上涨，医疗下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。市场风险偏好与防御信号并存，资金分流加剧。该基金为房地产类杠杆产品（约2倍），风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.4644586800983402,0.6040268456375839
SGPIX,Small-Cap Growth ProFund， Investor Class,小盘,1,GDX>0 且 SPY<0 且 XLF<0，买基金第二天,金矿股上涨，标普500下跌，金融下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压，成长/科技板块相对占优。该基金为小盘类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3328421725292158,0.5736196319018405
SGPIX,Small-Cap Growth ProFund， Investor Class,小盘,2,GDX>0 且 SPY<0 且 UUP<0，买基金第二天,金矿股上涨，标普500下跌，美元下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。市场风险偏好与防御信号并存，资金分流加剧，美元走弱利好贵金属与新兴市场。该基金为小盘类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3906175860139122,0.6027397260273972
SGPIX,Small-Cap Growth ProFund， Investor Class,小盘,3,GDX>0 且 XLC<0 且 XLK<0，买基金第二天,金矿股上涨，通信服务下跌，科技下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。资金转向避险与防御资产，风险资产承压，价值/金融板块相对占优。该基金为小盘类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.2108468710040633,0.5517241379310345
SGPSX,Small-Cap Growth ProFund， Service Class,小盘,1,GDX>0 且 SPY<0 且 XLK<0，买基金第二天,金矿股上涨，标普500下跌，科技下跌,风险偏好收缩，资金撤离高风险资产；避险与利率敏感资产走强。资金转向避险与防御资产，风险资产承压，价值/金融板块相对占优。该基金为小盘类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.3083561336376136,0.5846153846153846
SGPSX,Small-Cap Growth ProFund， Service Class,小盘,3,GDX>0 且 LQD>0 且 XLK<0，买基金第二天,金矿股上涨，投资级信用债上涨，科技下跌,避险与利率敏感资产走强；避险与抗通胀需求上升。市场风险偏好与防御信号并存，资金分流加剧，价值/金融板块相对占优。该基金为小盘类主题产品，风险偏好收缩时该基金价格倾向承压；若自身已下跌，超跌反弹概率上升。,0.2284504149416588,0.5550847457627118
